"Story","Title","Result","Date","Stability","Duration (s)"
"User Login","Login with valid username & password","SUCCESS","2023-10-05T09:33:01.3329353+07:00[Asia/Jakarta]","0.0","43.33"
"User Login","Login with invalid username & password","SUCCESS","2023-10-05T09:33:51.1712288+07:00[Asia/Jakarta]","0.0","50.72"
