"Story","Title","Result","Date","Stability","Duration (s)"
"User Login","Login with valid username & password","SUCCESS","2023-10-04T17:08:45.5224682+07:00[Asia/Jakarta]","0.0","7.49"
"User Login","Login with invalid username & password","SUCCESS","2023-10-04T17:08:56.2152611+07:00[Asia/Jakarta]","0.0","6.84"
