"Story","Title","Result","Date","Stability","Duration (s)"
"User Login","Login with valid username & password","SUCCESS","2023-10-05T15:54:41.4168542+07:00[Asia/Jakarta]","0.0","30.35"
"User Login","Login with invalid username & password","SUCCESS","2023-10-05T15:55:17.8401874+07:00[Asia/Jakarta]","0.0","11.78"
